cross_id,_id,river_definitions.is_api_v2,river_definitions.river_modified_date,river_definitions.river_time_created,river_definitions.scheduled_time,river_definitions.updated_by_name,river_definitions.river_type_title,river_definitions.river_name,river_definitions.river_status,river_definitions.subrivers_enabled,river_definitions.source.icon,river_definitions.source.name,river_definitions.source.size,river_definitions.river_insert_date,river_definitions.river_desc,river_definitions.river_time_updated,river_definitions.is_scheduled,river_definitions.river_type_id,river_definitions.group_id._id,river_definitions.group_id.name,river_definitions.river_type_icon_url,river_definitions.is_master_river,river_definitions.target.icon,river_definitions.target.name,river_definitions.target.size,river_definitions.target,river_definitions.source.title
626a6b0d19694a0fa7ff0481,626a6b0d19694a0fa7ff0481,False,2022-05-01T07:41:08.110000+00:00,2022-04-28T10:23:09.833000+00:00,,Nadav Dishon,Logic River,dwh_fact_daily_users_traffic,active,,https://static-assets.console.rivery.io/logic.png ,Logic,32.0,2022-04-28T10:23:09.833000+00:00,,2022-05-01T07:41:08.110000+00:00,False,logic,6107eb376ec0d63428ba5ee4,MRR to DWH,https://static-assets.console.rivery.io/logic.png,False,,,,,
626a508a19694a10a19c4e88,626a508a19694a10a19c4e88,False,2022-04-28T08:34:30.711000+00:00,2022-04-28T08:30:02.105000+00:00,,Nadav Dishon,Logic River,dwh_fact_admin_operations,active,,https://static-assets.console.rivery.io/logic.png ,Logic,32.0,2022-04-28T08:30:02.105000+00:00,,2022-04-28T08:34:30.711000+00:00,False,logic,60fc6833f5682c305e9de959,SRC to MRR,https://static-assets.console.rivery.io/logic.png,False,,,,,
626a406219694a6b5b190bc6,626a406219694a6b5b190bc6,False,2022-04-28T07:50:17.826000+00:00,2022-04-28T07:21:06.579000+00:00,,Nadav Dishon,Source to Target,mongo_admin_operations,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2022-04-28T07:21:06.579000+00:00,,2022-04-28T07:50:17.826000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
6268dfc019694a36c4096f20,6268dfc019694a36c4096f20,False,2022-04-27T10:00:47.857000+00:00,2022-04-27T06:16:32.915000+00:00,,Idan Wenger,Source to Target,gs_se_start_date,active,,https://static-assets.console.rivery.io/google-sheet.png,Google Sheets,32.0,2022-04-27T06:16:32.915000+00:00,,2022-04-27T10:00:47.857000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61cc5cd019694a74bc40f7b8,61cc5cd019694a74bc40f7b8,False,2022-04-12T07:35:09.645000+00:00,2021-12-29T13:04:16.858000+00:00,,Nadav Dishon,Source to Target,mongo_remediation_tracking,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2021-12-29T13:04:16.858000+00:00,,2022-04-12T07:35:09.645000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
61dae8fd19694a0e335fe1cc,61dae8fd19694a0e335fe1cc,False,2022-04-12T07:26:03.147000+00:00,2022-01-09T13:54:05.210000+00:00,,Nadav Dishon,Source to Target,mongo_starred_machines,active,,https://static-assets.console.rivery.io/mongodb.png,MongoDB,44.0,2022-01-09T13:54:05.210000+00:00,,2022-04-12T07:26:03.147000+00:00,False,src_to_trgt,60fc6833f5682c305e9de959,SRC to MRR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOwyb1iNm9HQcyHfKUj_NuAd02oaU-1S21et2JzSuRzdek2QdECjzTmb8,False,https://static-assets.console.rivery.io/bq.png,Google BigQuery (Target),36.0,,
6231c09619694a56cb0fcfca,6231c09619694a56cb0fcfca,False,2022-04-11T12:28:58.949000+00:00,2022-03-16T10:48:54.971000+00:00,,Idan Wenger,Logic River,dwh_fact_transformers_commit,active,,https://static-assets.console.rivery.io/logic.png ,Logic,32.0,2022-03-16T10:48:54.971000+00:00,,2022-04-11T12:28:58.949000+00:00,False,logic,6107eb376ec0d63428ba5ee4,MRR to DWH,https://static-assets.console.rivery.io/logic.png,False,,,,,
6224c07119694a53a532e648,6224c07119694a53a532e648,False,2022-03-06T14:21:40.450000+00:00,2022-03-06T14:08:49.465000+00:00,,Nadav Dishon,Logic River,dwh_dim_auguscopes,active,,https://static-assets.console.rivery.io/logic.png ,Logic,32.0,2022-03-06T14:08:49.465000+00:00,,2022-03-06T14:21:40.450000+00:00,False,logic,6107eb376ec0d63428ba5ee4,MRR to DWH,https://static-assets.console.rivery.io/logic.png,False,,,,,
61ee817d19694a34017fb770,61ee817d19694a34017fb770,False,2022-01-24T13:38:15.081000+00:00,2022-01-24T10:37:49.571000+00:00,,Idan Wenger,Logic River,dwh_fact_last_faults_per_component,active,,https://static-assets.console.rivery.io/logic.png ,Logic,32.0,2022-01-24T10:37:49.571000+00:00,,2022-01-24T13:38:15.081000+00:00,False,logic,6107eb376ec0d63428ba5ee4,MRR to DWH,https://static-assets.console.rivery.io/logic.png,False,,,,,
61e1998119694a6b99f4260d,61e1998119694a6b99f4260d,False,2022-01-20T08:52:52.099000+00:00,2022-01-14T15:40:49.288000+00:00,,Nadav Dishon,Logic River,dwh_fact_analyst_ticket_page_timing,active,,https://static-assets.console.rivery.io/logic.png ,Logic,32.0,2022-01-14T15:40:49.288000+00:00,,2022-01-20T08:52:52.099000+00:00,False,logic,6107eb376ec0d63428ba5ee4,MRR to DWH,https://static-assets.console.rivery.io/logic.png,False,,,,,
